instances,Frac_Neg_Body,Frac_Pos_Body,Frac_Unary_Rules,Frac_Binary_Rules,Frac_Ternary_Rules,Frac_Integrity_Rules,Tight,Problem_Variables,Free_Problem_Variables,Assigned_Problem_Variables,Constraints,Constraints/Vars,Created_Bodies,Program_Atoms,SCCS,Nodes_in_Positive_BADG,Rules,Normal_Rules,Cardinality_Rules,Choice_Rules,Weight_Rules,Frac_Normal_Rules,Frac_Cardinality_Rules,Frac_Choice_Rules,Frac_Weight_Rules,Equivalences,Atom-Atom_Equivalences,Body-Body_Equivalences,Other_Equivalences,Frac_Atom-Atom_Equivalences,Frac_Body-Body_Equivalences,Frac_Other_Equivalences,Binary_Constraints,Ternary_Constraints,Other_Constraints,Frac_Binary_Constraints,Frac_Ternary_Constraints,Frac_Other_Constraints
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_13_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_13_C3_ce.asp.ground,0.263,0.702,0.0219,0.3003,0.6226,0.0093,1.0,23120.0,20009.0,3111.0,59807.0,2.5868,191331.0,166851.0,0.0,0.0,401768.0,372940.0,27034.0,1794.0,0.0,0.9282,0.0673,0.0045,0.0,362212.0,66428.0,41295.0,254489.0,0.1834,0.114,0.7026,39429.0,12501.0,7877.0,0.6593,0.209,0.1317
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_13_C4_ce.asp.ground,0.2639,0.7011,0.0218,0.3009,0.622,0.0093,1.0,23193.0,20085.0,3108.0,60156.0,2.5937,192511.0,168015.0,0.0,0.0,404169.0,375331.0,27044.0,1794.0,0.0,0.9286,0.0669,0.0044,0.0,364673.0,67018.0,41782.0,255873.0,0.1838,0.1146,0.7017,39705.0,12509.0,7942.0,0.66,0.2079,0.132
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_13_C5_ce.asp.ground,0.263,0.702,0.0219,0.3003,0.6226,0.0093,1.0,23120.0,20009.0,3111.0,59807.0,2.5868,191331.0,166851.0,0.0,0.0,401768.0,372940.0,27034.0,1794.0,0.0,0.9282,0.0673,0.0045,0.0,362212.0,66428.0,41295.0,254489.0,0.1834,0.114,0.7026,39429.0,12501.0,7877.0,0.6593,0.209,0.1317
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_13_C6_ce.asp.ground,0.2639,0.7011,0.0218,0.3009,0.622,0.0093,1.0,23193.0,20085.0,3108.0,60156.0,2.5937,192511.0,168015.0,0.0,0.0,404169.0,375331.0,27044.0,1794.0,0.0,0.9286,0.0669,0.0044,0.0,364673.0,67018.0,41782.0,255873.0,0.1838,0.1146,0.7017,39705.0,12509.0,7942.0,0.66,0.2079,0.132
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_13_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_13_C8_ce.asp.ground,0.2591,0.7083,0.0211,0.3039,0.6179,0.009,1.0,0.0,0.0,0.0,0.0,0.0,181647.0,155782.0,0.0,0.0,383756.0,356982.0,25118.0,1656.0,0.0,0.9302,0.0655,0.0043,0.0,190187.0,46308.0,27918.0,115961.0,0.2435,0.1468,0.6097,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_14_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_14_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_14_C3_ce.asp.ground,0.2595,0.7083,0.0195,0.2999,0.6186,0.0077,1.0,28439.0,24790.0,3649.0,75098.0,2.6407,256416.0,217812.0,0.0,0.0,537932.0,499472.0,36480.0,1980.0,0.0,0.9285,0.0678,0.0037,0.0,504363.0,86161.0,53019.0,365183.0,0.1708,0.1051,0.724,49683.0,15705.0,9710.0,0.6616,0.2091,0.1293
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_14_C4_ce.asp.ground,0.2602,0.7075,0.0195,0.3004,0.6182,0.0077,1.0,28512.0,24863.0,3649.0,75444.0,2.646,257539.0,218916.0,0.0,0.0,540225.0,501761.0,36484.0,1980.0,0.0,0.9288,0.0675,0.0037,0.0,506700.0,86715.0,53473.0,366512.0,0.1711,0.1055,0.7233,49956.0,15713.0,9775.0,0.6622,0.2083,0.1296
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_14_C5_ce.asp.ground,0.2595,0.7083,0.0195,0.2999,0.6186,0.0077,1.0,28439.0,24790.0,3649.0,75098.0,2.6407,256416.0,217812.0,0.0,0.0,537932.0,499472.0,36480.0,1980.0,0.0,0.9285,0.0678,0.0037,0.0,504363.0,86161.0,53019.0,365183.0,0.1708,0.1051,0.724,49683.0,15705.0,9710.0,0.6616,0.2091,0.1293
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_14_C6_ce.asp.ground,0.2602,0.7075,0.0195,0.3004,0.6182,0.0077,1.0,28512.0,24863.0,3649.0,75444.0,2.646,257539.0,218916.0,0.0,0.0,540225.0,501761.0,36484.0,1980.0,0.0,0.9288,0.0675,0.0037,0.0,506700.0,86715.0,53473.0,366512.0,0.1711,0.1055,0.7233,49956.0,15713.0,9775.0,0.6622,0.2083,0.1296
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_14_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_14_C8_ce.asp.ground,0.2566,0.7129,0.0188,0.3025,0.6152,0.0075,1.0,0.0,0.0,0.0,0.0,0.0,247143.0,207193.0,0.0,0.0,520658.0,484162.0,34648.0,1848.0,0.0,0.9299,0.0665,0.0035,0.0,247430.0,59369.0,35266.0,152795.0,0.2399,0.1425,0.6175,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_15_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_15_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_15_C3_ce.asp.ground,0.2707,0.6906,0.0234,0.2948,0.6294,0.0099,1.0,27761.0,24225.0,3536.0,71651.0,2.581,210323.0,188539.0,0.0,0.0,437362.0,404686.0,30606.0,2070.0,0.0,0.9253,0.07,0.0047,0.0,415268.0,74369.0,46050.0,294849.0,0.1791,0.1109,0.71,47055.0,15162.0,9434.0,0.6567,0.2116,0.1317
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_15_C4_ce.asp.ground,0.2715,0.6898,0.0233,0.2954,0.6289,0.0098,1.0,27834.0,24301.0,3533.0,72000.0,2.5868,211503.0,189703.0,0.0,0.0,439763.0,407077.0,30616.0,2070.0,0.0,0.9257,0.0696,0.0047,0.0,417729.0,74959.0,46537.0,296233.0,0.1794,0.1114,0.7092,47331.0,15170.0,9499.0,0.6574,0.2107,0.1319
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_15_C5_ce.asp.ground,0.2707,0.6906,0.0234,0.2948,0.6294,0.0099,1.0,27761.0,24225.0,3536.0,71651.0,2.581,210323.0,188539.0,0.0,0.0,437362.0,404686.0,30606.0,2070.0,0.0,0.9253,0.07,0.0047,0.0,415268.0,74369.0,46050.0,294849.0,0.1791,0.1109,0.71,47055.0,15162.0,9434.0,0.6567,0.2116,0.1317
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_15_C6_ce.asp.ground,0.2715,0.6898,0.0233,0.2954,0.6289,0.0098,1.0,27834.0,24301.0,3533.0,72000.0,2.5868,211503.0,189703.0,0.0,0.0,439763.0,407077.0,30616.0,2070.0,0.0,0.9257,0.0696,0.0047,0.0,417729.0,74959.0,46537.0,296233.0,0.1794,0.1114,0.7092,47331.0,15170.0,9499.0,0.6574,0.2107,0.1319
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_15_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_15_C8_ce.asp.ground,0.267,0.6965,0.0226,0.2984,0.6248,0.0097,1.0,0.0,0.0,0.0,0.0,0.0,199644.0,176255.0,0.0,0.0,417555.0,387209.0,28414.0,1932.0,0.0,0.9273,0.068,0.0046,0.0,215518.0,52670.0,31367.0,131481.0,0.2444,0.1455,0.6101,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_16_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_16_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_16_C3_ce.asp.ground,0.2654,0.6995,0.0208,0.2959,0.6237,0.0082,1.0,32949.0,28892.0,4057.0,86621.0,2.6289,274586.0,238594.0,0.0,0.0,572047.0,529919.0,39884.0,2244.0,0.0,0.9264,0.0697,0.0039,0.0,562560.0,93792.0,57551.0,411217.0,0.1667,0.1023,0.731,57102.0,18292.0,11227.0,0.6592,0.2112,0.1296
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_16_C4_ce.asp.ground,0.266,0.6989,0.0208,0.2964,0.6233,0.0082,1.0,33022.0,28965.0,4057.0,86967.0,2.6336,275709.0,239698.0,0.0,0.0,574340.0,532208.0,39888.0,2244.0,0.0,0.9266,0.0695,0.0039,0.0,564897.0,94346.0,58005.0,412546.0,0.167,0.1027,0.7303,57375.0,18300.0,11292.0,0.6597,0.2104,0.1298
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_16_C5_ce.asp.ground,0.2654,0.6995,0.0208,0.2959,0.6237,0.0082,1.0,32949.0,28892.0,4057.0,86621.0,2.6289,274586.0,238594.0,0.0,0.0,572047.0,529919.0,39884.0,2244.0,0.0,0.9264,0.0697,0.0039,0.0,562560.0,93792.0,57551.0,411217.0,0.1667,0.1023,0.731,57102.0,18292.0,11227.0,0.6592,0.2112,0.1296
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_16_C6_ce.asp.ground,0.266,0.6989,0.0208,0.2964,0.6233,0.0082,1.0,33022.0,28965.0,4057.0,86967.0,2.6336,275709.0,239698.0,0.0,0.0,574340.0,532208.0,39888.0,2244.0,0.0,0.9266,0.0695,0.0039,0.0,564897.0,94346.0,58005.0,412546.0,0.167,0.1027,0.7303,57375.0,18300.0,11292.0,0.6597,0.2104,0.1298
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_16_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_16_C8_ce.asp.ground,0.2626,0.7041,0.0201,0.2986,0.6202,0.008,1.0,0.0,0.0,0.0,0.0,0.0,264360.0,226808.0,0.0,0.0,553050.0,513150.0,37788.0,2112.0,0.0,0.9279,0.0683,0.0038,0.0,271843.0,65528.0,38576.0,167739.0,0.2411,0.1419,0.617,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_17_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_17_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_17_C3_ce.asp.ground,0.278,0.6797,0.0248,0.2892,0.6364,0.0103,1.0,33018.0,29056.0,3962.0,85130.0,2.5783,231292.0,212644.0,0.0,0.0,476530.0,439460.0,34724.0,2346.0,0.0,0.9222,0.0729,0.0049,0.0,474011.0,82972.0,51022.0,340017.0,0.175,0.1076,0.7173,55701.0,18231.0,11198.0,0.6543,0.2142,0.1315
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_17_C4_ce.asp.ground,0.2786,0.679,0.0247,0.2898,0.6358,0.0103,1.0,33091.0,29132.0,3959.0,85479.0,2.5831,232472.0,213808.0,0.0,0.0,478931.0,441851.0,34734.0,2346.0,0.0,0.9226,0.0725,0.0049,0.0,476472.0,83562.0,51509.0,341401.0,0.1754,0.1081,0.7165,55977.0,18239.0,11263.0,0.6549,0.2134,0.1318
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_17_C5_ce.asp.ground,0.278,0.6797,0.0248,0.2892,0.6364,0.0103,1.0,33018.0,29056.0,3962.0,85130.0,2.5783,231292.0,212644.0,0.0,0.0,476530.0,439460.0,34724.0,2346.0,0.0,0.9222,0.0729,0.0049,0.0,474011.0,82972.0,51022.0,340017.0,0.175,0.1076,0.7173,55701.0,18231.0,11198.0,0.6543,0.2142,0.1315
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_17_C6_ce.asp.ground,0.2786,0.679,0.0247,0.2898,0.6358,0.0103,1.0,33091.0,29132.0,3959.0,85479.0,2.5831,232472.0,213808.0,0.0,0.0,478931.0,441851.0,34734.0,2346.0,0.0,0.9226,0.0725,0.0049,0.0,476472.0,83562.0,51509.0,341401.0,0.1754,0.1081,0.7165,55977.0,18239.0,11263.0,0.6549,0.2134,0.1318
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_17_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_17_C8_ce.asp.ground,0.2746,0.6853,0.0241,0.2928,0.6318,0.0102,1.0,0.0,0.0,0.0,0.0,0.0,219618.0,199145.0,0.0,0.0,454928.0,420464.0,32256.0,2208.0,0.0,0.9242,0.0709,0.0049,0.0,243304.0,59620.0,35036.0,148648.0,0.245,0.144,0.611,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_18_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_18_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_18_C3_ce.asp.ground,0.2713,0.6908,0.0221,0.2917,0.6291,0.0087,1.0,38054.0,33588.0,4466.0,99724.0,2.6206,294649.0,261697.0,0.0,0.0,609592.0,563274.0,43810.0,2508.0,0.0,0.924,0.0719,0.0041,0.0,627272.0,102071.0,62298.0,462903.0,0.1627,0.0993,0.738,65507.0,21273.0,12944.0,0.6569,0.2133,0.1298
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_18_C4_ce.asp.ground,0.2718,0.6902,0.0221,0.2921,0.6288,0.0086,1.0,38127.0,33661.0,4466.0,100070.0,2.6246,295772.0,262801.0,0.0,0.0,611885.0,565563.0,43814.0,2508.0,0.0,0.9243,0.0716,0.0041,0.0,629609.0,102625.0,62752.0,464232.0,0.163,0.0997,0.7373,65780.0,21281.0,13009.0,0.6573,0.2127,0.13
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_18_C5_ce.asp.ground,0.2713,0.6908,0.0221,0.2917,0.6291,0.0087,1.0,38054.0,33588.0,4466.0,99724.0,2.6206,294649.0,261697.0,0.0,0.0,609592.0,563274.0,43810.0,2508.0,0.0,0.924,0.0719,0.0041,0.0,627272.0,102071.0,62298.0,462903.0,0.1627,0.0993,0.738,65507.0,21273.0,12944.0,0.6569,0.2133,0.1298
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_18_C6_ce.asp.ground,0.2718,0.6902,0.0221,0.2921,0.6288,0.0086,1.0,38127.0,33661.0,4466.0,100070.0,2.6246,295772.0,262801.0,0.0,0.0,611885.0,565563.0,43814.0,2508.0,0.0,0.9243,0.0716,0.0041,0.0,629609.0,102625.0,62752.0,464232.0,0.163,0.0997,0.7373,65780.0,21281.0,13009.0,0.6573,0.2127,0.13
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_18_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_18_C8_ce.asp.ground,0.2685,0.6953,0.0214,0.2945,0.6256,0.0085,1.0,0.0,0.0,0.0,0.0,0.0,283470.0,248744.0,0.0,0.0,588872.0,545046.0,41450.0,2376.0,0.0,0.9256,0.0704,0.004,0.0,298643.0,72263.0,42098.0,184282.0,0.242,0.141,0.6171,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_19_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_19_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0045,1.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,446.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_1_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0052,1.0,0.0,0.0,0.0,0.0,0.0,1.0,382.0,0.0,0.0,383.0,383.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_1_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0052,1.0,0.0,0.0,0.0,0.0,0.0,1.0,382.0,0.0,0.0,383.0,383.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_20_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_20_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_21_C10_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_21_C11_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_21_C12_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_21_C13_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_21_C14_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_21_C15_ce.asp.ground,0.2815,0.6752,0.0261,0.2884,0.6371,0.0109,1.0,0.0,0.0,0.0,0.0,0.0,234885.0,218303.0,0.0,0.0,483329.0,445495.0,35326.0,2508.0,0.0,0.9217,0.0731,0.0052,0.0,268148.0,66089.0,38268.0,163791.0,0.2465,0.1427,0.6108,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_21_C16_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,433.0,0.0,0.0,434.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_get_64_lsb_first_21_C17_ce.asp.ground,0.2815,0.6752,0.0261,0.2884,0.6371,0.0109,1.0,0.0,0.0,0.0,0.0,0.0,234885.0,218303.0,0.0,0.0,483329.0,445495.0,35326.0,2508.0,0.0,0.9217,0.0731,0.0052,0.0,268148.0,66089.0,38268.0,163791.0,0.2465,0.1427,0.6108,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
